,country,description,designation,points,price,province,region_1,region_2,variety,winery
239,Italy,"This opens with a pretty fragrance of violet, exotic spice and perfumed berry. The juicy palate doles out ripe black cherry, crushed raspberry, freshly ground pepper, mocha and anisette. It's nicely balanced with fresh acidity and firm but polished tannins.",Coste Rubin,92,69,Piedmont,Barbaresco,,Nebbiolo,Fontanafredda
240,France,"Smoky and toasty, this is a structured wine. It has layers of black currant fruits, fresh acidity as well as firm tannins that overlay the juicy fruitiness. It needs to age. Drink from 2016.",,88,16,Bordeaux,Blaye Côtes de Bordeaux,,Bordeaux-style Red Blend,Château Chantemerle
241,France,"While the wine is rich, it's also very crisp and fruity. Tight acidity and a chalky, steely texture are balanced by ripe apples and pink grapefruit. It's a wine for drinking this year, bright and fruity.",,88,16,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château Chaubinet
242,France,"A tight and herbaceous wine that is crisp, mineral and fresh. It shows a great potential for fruitiness, with natural juicy acidity as well as a bright, aromatic aftertaste. Drink from 2016.",,88,,Bordeaux,Pessac-Léognan,,Bordeaux-style White Blend,Château Ferran
243,France,"Round and velvet smooth, it has blackberry fruits that are full in the mouth, giving freshness while also making the wine rich and generous. The tannins are already well-integrated into this soft wine. Drink from 2015.",,88,15,Bordeaux,Côtes de Bourg,,Bordeaux-style Red Blend,Château Fongalan
244,France,"Crisp and deliciously fruity, this is lively and bright. Acidity points up the lime and grapefruit flavors, leaving a fresh, juicy aftertaste. Drink now for maximum pleasure.",,88,13,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château Mezain
245,US,"Full-bodied and resplendent in ripe apple and brioche, this well-crafted wine is layered and smooth. It would pair well with grilled salmon or herb-roasted chicken.",,88,28,California,Carneros,Napa-Sonoma,Chardonnay,Clos du Val
246,US,"Toasty scents and flavors of the barrels (40% new) cloak tart raspberry fruit. It's clean and efficient, though for the moment at least, the barrel flavors outrun the rather light fruit. That can change over time, so give this one until 2015 or so in bottle.",Estate,88,36,Oregon,McMinnville,Willamette Valley,Pinot Noir,Coeur de Terre
247,Romania,"This playful pink has fun aromas of cinnamon, red berry and bubble gum that lead to flavors of sour cherry and red plum on the palate. The finish is big, fruity and generous.",La Umbra,88,9,Colinele Dobrogei,,,Rosé,Cramele Halewood
248,US,"Bright orange juice, dill herbs and a slight whiff of vanilla bean lead the aromas on this un-oaked Chard. On the palate, flavors of apple cider come with a wash of fresh lime juice on the back end.",Limited Selection,88,24,California,Central Coast,Central Coast,Chardonnay,Daniel Gehrs
249,US,"This white combines 48% Roussanne with 35% Marsanne and 17% Viognier to creamy, tropical effect, its balance between ripe melon and pear fruitiness and spiced acidity well woven. From one of the few sources of some of these grapes in the Russian River Valley, this Rhône-inspired wine is ready to pair with lobster or a roast turkey dinner.",Cuvée Luke Saralee's Vineyard,88,30,California,Russian River Valley,Sonoma,Rhône-style White Blend,Davis Family
250,US,"Taking time to come around aromatically, it opens up with plum and bright red cherry fruit that follow on the palate, a touch of savory tobacco suggested around the tannins. On the finish expect a balance of spice and sweet as black pepper and caramel compete for affection.",,88,25,California,Sonoma County,Sonoma,Merlot,Decoy
251,Italy,"Made for early drinking, this bright wine delivers red berry fruit lightly accented with sage and baking spices. It's not an ager so enjoy now through 2020.",,88,34,Piedmont,Barolo,,Nebbiolo,Reversanti
252,US,"Sourced from the estate vineyard—the same vineyard that fuels the Private Stash reserve—this shows a dusty, somewhat charred character, presumably from the barrel aging. Along with the slightly burnt toast character comes plenty of black cherry fruit, and acids that leave a slightly chalky impression in the finish.",Wits' End,88,60,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Roco
253,US,"The other realm of the coin from Brown Ranch, Toyon is leaner and lighter, its color even subdued, a study in wild strawberry and layered floral highlights, oak and cardamom spice. It bristles with acidity, pleasant to sip on its own or with bacon-wrapped figs.",Toyon Farm,88,54,California,Carneros,Napa-Sonoma,Pinot Noir,Saintsbury
254,US,"This is a frizzante style of Muscat, the pressure slight enough to allow for a screwcap seal. Off-dry, spicy and aromatic, it's a great sipping wine, with concentrated flavors of sweet orange-pekoe tea.",Early,88,15,Oregon,Willamette Valley,Willamette Valley,Muscat,Silvan Ridge
255,Italy,"This opens with aromas of black plum, oak, espresso, black pepper, balsamic notes and a whiff of barnyard. The bracing palate delivers crushed dark cherry alongside oak sensations of espresso, toast and vanilla. Aggressive wood tannins cut this short and give an astringent finish.",Bussia,88,56,Piedmont,Barolo,,Nebbiolo,Silvano Bolmida
256,US,"The winery's signature widely distributed white is heady in flowery jasmine, with vibrant acidity and a sense of sweetness on the palate thanks to fresh fruit flavors of grapefruit, peach and nectarine. An ideal wine for summer or whenever one needs to recall a summer's day.",Estate,88,20,California,Napa Valley,Napa,Sauvignon Blanc,St. Supéry
257,US,"Smells of rust, iron, tomato and untracked peppercorns rise to the nose. On the palate, the wine is quite light and racy, with a little boysenberry and more sanguine flavors. Hold onto this one until 2016 for maximum enjoyment, as more flavors will emerge.",Guidotti Vineyard,88,61,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Testarossa
258,Italy,"Black plum, chocolate-covered cherry and mocha sensations come together alongside forceful tannins. It's rather ripe and forward for the vintage. Drink 2018–2025.",,88,46,Piedmont,Barolo,,Nebbiolo,Trediberri
259,Spain,"This is brilliantly purple in color, with jumpy, untamed black-fruit aromas. In the mouth, it is tannic and clawing, with a cheek-drilling mouthfeel. Syrupy blackberry flavors offer baking spice and clove accents, while the finish is showing unabsorbed oak and monster tannins.",Prestigio,88,30,Northern Spain,Cigales,,Tempranillo,Val de Los Frailes
260,Spain,"Dusty black cherry and dark plum aromas are ripe and friendly. This is a plump, modern-style red with a clean mouthfeel and weight. Berry fruits, spice and oak flavors blend well, while the finish is, in general, full, smooth and adequately fresh. Tempranillo with 10% Petit Verdot.",Crianza,88,17,Central Spain,La Mancha,,Tempranillo Blend,Yuntero
261,France,"This fresh and fruity sparkling wine is crisp with apple skin and apricot flavors. Ripe and full in the mouth , it has a lightly creamy mousse. The blend of Chenin Blanc and Chardonnay gives delicious fruitiness and tight final acidity.",Noctambule,88,,Loire Valley,Crémant de Loire,,Chenin Blanc-Chardonnay,Musset-Roullier
262,US,"Chalky earth, black pepper and clove comprise the nose on this wine, which gets a boost from 10% Merlot. The flavors are spicy and complex, with cedar, tea and a tiny bit of varietally distinct green pepper.",Querida,88,40,California,Paso Robles,Central Coast,Cabernet Sauvignon-Merlot,Oso Libre
263,US,"Oso Libre ventures into the nonvintage category with this blend of 10 wines from the past five years, delivering a nose with blackberry and a pinch of pepper. The meaty wine really gets your attention once sipped, with boysenberry, cracked peppercorn, some iron and a lingering licorice flavors.",Primoroso,88,39,California,Paso Robles,Central Coast,Red Blend,Oso Libre
264,Italy,"Made from vineyards throughout the village of Serralunga d'Alba, this straightforward wine is still closed. It reveals black cherry, espresso, prune and subtle oak alongside a note of tire rubber. It's still extremely young, with aggressive tannins that dry out the finish.",del Comune di Serralunga d'Alba,88,49,Piedmont,Barolo,,Nebbiolo,Palladino
265,France,"A lemon-scented, crisp wine, it's also full of ripe yellow fruits. It's a warm in style, rich with both fruit and an open texture. Almonds and acidity give a refreshing aftertaste.",Domaine de Saint-Pierre,88,23,Loire Valley,Sancerre,,Sauvignon Blanc,Pierre Prieur et Fils
266,US,"This is a great sunny day wine, starting with aromas of honeydew melon, ripe nectarine and lemongrass. There is a slightly peachy, bubblegum character once sipped, with lemon-lime soda in the midpalate and a flinty, gunmetal finish.",,88,16,California,Monterey County,Central Coast,Pinot Grigio,Bargetto
267,US,"A brighter, more mineral- and acid-driven take on the often rustic Rhône grape, this kicks off with fresh smells of raspberry and rock. The palate brings tart cherry, followed by just-ripe black berry and really ripe raspberry on the midpalate, and a tartness on the finish.",Anna's Estate Vineyard,88,32,California,Paso Robles,Central Coast,Mourvèdre,Adelaida
268,US,"There's a lot happening on nose of this wine from Sta. Rita Hills pioneer Richard Sanford's recently rejuvenated Alma Rosa label. Aromas suggest light butterscotch, baked pear, fresh pluot and jasmine. Once sipped, the flavors don't live up to the aromatic promise, but apple, pear and a sharper tangerine rind round out the flavors.",,88,18,California,Santa Barbara County,Central Coast,Chardonnay,Alma Rosa
269,Argentina,"Immediately this smells raisiny, but with time secondary scents of cinnamon and Middle Eastern spices come into play. The body is soft and extracted, with modest acidity. Flavors of baked black fruits, fig paste, chocolate and herbs follow the nose, as does a chocolaty, rich  finish. Drink through 2016.",Single Vineyard Reserva,88,15,Mendoza Province,Agrelo,,Cabernet Sauvignon,Lamadrid
270,France,"Packed with tannin, it is not showing much sign of fruit yet. It is dark, brooding and very firm in texture, with just with a hint of juicy black cherry flavors. Wait until 2017 before drinking.",Pertuisots Premier Cru,92,92,Burgundy,Beaune,,Pinot Noir,Domaine de Bellene
271,France,"A very fruity wine, it shows rich wood flavors as well as equally rich fruit. It is complex, very mineral in character, tight and nervy. The citrus fruit is matched by the apricot flavor, putting down layers of acidity. Don't drink before 2017.",Clos du Cailleret Premier Cru,92,94,Burgundy,Chassagne-Montrachet,,Chardonnay,Domaine Vincent Girardin
272,US,"The southern Napa Coombsville area is near San Pablo Bay, making it a cool area. In this vintage, it shows the acidity and mineraity of its terroir, but also the ripeness Chardonnay can achieve in a good vineyard, with orange and apricot flavors enhanced with oak. Drink now.",Haynes Vineyard,92,58,California,Coombsville,Napa,Chardonnay,Failla
273,US,"From the estimable Shake Ridge Ranch, winemaker Rosemary Cakebread has fashioned a lovely blend from 53% Grenache, 31% Syrah, 14% Mourvèdre and 2% Viognier. Opening with leathery tannins, the rich and savory concoction imparts juicy dark plum, tobacco and especially coffee.",Suzuri Series Shake Ridge Ranch,92,50,California,Amador County,Sierra Foothills,Rhône-style Red Blend,Gallica
274,US,"The vintage was a great one not only for J's dry table wines but for its sparklers. This brut, a classic Chardonnay and Pinot blend, with a drop of Pinot Meunier, is dry, with complex lemon, orange, yeast, vanilla, cream and toast flavors. The bubbles are ultra-fine, raising the appeal.",Vintage Brut,92,48,California,Russian River Valley,Sonoma,Sparkling Blend,J Vineyards & Winery
275,US,"This is such a good Pinot, and so reflective of the Sonoma Coast, that its price makes it a steal. With low alcohol and brisk acidity, it's translucent in color, with a gleaming ruby hue. The mouthfeel is silky and delicate, yet the raspberry, cola and buttered cinnamon toast flavors are intense. Drink now–2020.",,92,32,California,Sonoma Coast,Sonoma,Pinot Noir,Les Voleurs
276,Italy,"This wine has more structure and depth than most Pinot Biancos from Alto Adige, thanks to vineyard location and 20% aging in large casks. It delivers sensations of apples and exotic fruit along with a flinty note. The creamy texture is brightened by lively acidity.",Sirmian,92,27,Northeastern Italy,Alto Adige,,Pinot Bianco,Nals Margreid
277,Portugal,"Pure Alvarinho from the Monção region, it's rich, creamy and textured. Lined with great acidity, it also has intense apple, bitter orange and a strongly herbal element. While it's ready to drink, this complex wine will benefit by waiting until 2015.",Portal do Fidalgo,92,35,Vinho Verde,,,Alvarinho,Provam
278,Portugal,"This wood-aged wine comes from a small parcel of old vines in the Quinta Nova vineyard. With its ripe, smooth and creamy texture, it has a full, almost Burgundian feel. Ripe peach combines with vanilla to make a wine that has concentration and richness, cut with final acidity.",Mirabilis Grande Reserva,92,95,Douro,,,Portuguese White,Quinta Nova de Nossa Senhora do Carmo
279,US,"A great follow-up to the winery's 2011, made this time from an esteemed vineyard in one of the coldest parts of the valley. The vintage was difficult, but the wine is rich in raspberry, cranberry and persimmon flavors, brightened by crisp acidity and finishing totally dry. There's no reason not to drink it now.",Solomon Hills Vineyard,92,43,California,Santa Maria Valley,Central Coast,Pinot Noir,Ryan Cochrane
280,Italy,"Here's a delicious Soave with depth and character. Floral aromas of Spanish Broom and chamomile take center stage, accented by a smidge of exotic fruit and graphite. The juicy palate offers honeydew melon, white peach, ripe pear, citrus and mineral purity balanced by fresh acidity.",Monte Carbonare,92,33,Veneto,Soave Classico,,Garganega,Suavia
281,Italy,"Classic varietal aromas include stone fruit, crushed tomato vine, freshly cut grass and green melon. The palate offers a depth of flavors that include creamy white peach and ripe cantaloupe that are brightened by firm acidity. It closes on a flinty mineral note.",Quarz,92,60,Northeastern Italy,Alto Adige,,Sauvignon,Cantina Terlano
282,France,"The estate wine from Château du Cèdre is anything but simple. A powerful series of tannins and dense black fruits offer both a dark texture and great fruitiness. Acidity comes through strongly and, with the tannins, promises aging. Drink from 2017.",,92,,Southwest France,Cahors,,Malbec,Château du Cèdre
283,France,"The minty aromas indicate new wood aging as well as a ripe, polished texture. They make for a wine that has presence and structure as well as rich fruitiness, blackberry flavors and a dry, solid core. It's a sophisticated wine that can age. Drink from 2017.",Réserve,92,30,Bordeaux,Graves,,Bordeaux-style Red Blend,Château Haut Selve
284,US,"Made from 100% Cabernet, this wine shows the intensity of fruit that Mount Veeder is capable of expressing. It also has excellent acidity. But the tannins are astringently strong, giving a numbing sting to the palate. This certainly needs time. Give it until 2022 and beyond.",Lampyridae Vineyards,92,100,California,Mount Veeder,Napa,Cabernet Sauvignon,Communication Block
285,US,"Right out of the bottle, this 100% Syrah delights for its overall balance and deep, rich array of cherries and blueberries. If you pay attention, you'll find more complex layers of sautéed wild mushrooms, grilled prosciutto and toast. Dry and tannic, and would be ideal with roasted lamb.",Le Mistral Vineyard,92,35,California,Monterey County,Central Coast,Syrah,Baker & Brain
286,France,"There is a great balance here between the creamy fruit and the wood flavors. Apricots, ripe apples and melon are spiced with the right amount of toastiness. The wine has a rich, warm feel. It is still young, so wait until 2015 to drink.",Les Charmes Dessus,91,60,Burgundy,Santenay,,Chardonnay,Domaine de Bellene
287,France,"Hugely tannic at this stage, this dense and complex wine has great structure partnered with dark black fruit and licorice. There is forward bitterness, suggesting this wine needs aging. Drink from 2017.",Cuvée Germain,91,16,Southwest France,Côtes du Tarn,,Bordeaux-style Red Blend,Domaine D'en Ségur
288,France,"This is a ripe and smoothly textured wine. It is already finely balanced, rich with toast, apricot fruits and a tight, mineral character. It is enjoyable now but will age well until 2022.",Quintessence,91,40,Burgundy,Pouilly-Fuissé,,Chardonnay,Domaine Sangouard-Guyot
289,US,"Sourced from a 15-acre vineyard on Parrett Mountain, this displays single vineyard specificity. Entry is surprisingly soft, and (perhaps influenced by the name) there seems to be a pleasing clay-like quality to the mouthfeel. Clean blueberry fruit leads into a tasty, balanced finish.",Clay Court,91,60,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Elk Cove
290,France,"Still firm and closed, this is a structured wine, solidly tannic with just hints of fruit. It has a dry feel to it, firm, the acidity and red fruits coming through the leathery, dark texture. The wine needs aging, so drink from 2017.",,91,100,Burgundy,Clos de Vougeot,,Pinot Noir,Evening Land
291,Portugal,"Violets, truffles and ripe black fruits are present in this structured wine. It has almost too much richness, but there is plenty to admire. Solid tannins, a dark, heavy texture and complex acidity all show aging potential. Drink from 2018.",,91,18,Alentejano,,,Touriga Nacional,Herdade de São Miguel
292,US,"Sourced from the Chalice (estate) vineyard, this aromatic and seductive wine presents a compelling mix of tree fruits, racy acidity, and a rich, textural, open mouthfeel. The flavors of pears, orange peel and snappy spices linger deliciously through a long finish.",,91,16,Oregon,Oregon,Oregon Other,Pinot Gris,Iris Vineyards
293,US,"This is a gigantic Syrah, a tsunami of blackberry jam and milk chocolate, with headier notes of cassis liqueur and toasty buttered oak. That sounds sweet, but the wine is thoroughly dry. The tannins are thick, but finely ground and negotiable now. It might last in the bottle for many years, but there's no point in aging it. Enjoy now with elaborate roasts and stews.",Kruse Vineyards,91,42,California,Paso Robles,Central Coast,Syrah,Jack Creek
294,France,"A ripe, wood-aged wine, it's richly smoky and fruity at the same time. The blend brings out honey, ripe apricots and peach. Acidity cuts through at the end to give a final, delicious lift. Drink now, but best wait until 2015.",Cami Salié,91,,Southwest France,Jurançon Sec,,Gros and Petit Manseng,Lionel Osmin & Cie
295,US,"The hue is an elegant peach just starting to blush with pink. The wine is entirely dry, with low alcohol framing intricate flavors of peaches, limes and vanilla, brightened by crisp acidity.",Rosé of,91,20,California,Napa Valley,Napa,Pinot Noir,Brick & Mortar
296,Italy,"A savory Sauvignon with intensity and balance, it has aromas of cantaloupe and crushed tomato vine. The vibrant palate offers juicy green melon, pineapple and citrus together with a mineral note. Fresh acidity leaves a clean, crisp finish.",Prail,91,25,Northeastern Italy,Alto Adige,,Sauvignon,Colterenzio
297,Italy,"This savory Pinot Grigio has a little weight on it thanks to grape selection and 20% aging in large barrels. It delivers classic Granny Smith apple, Bartlett pear, nutmeg and flint in a creamy texture brightened by fresh acidity.",Puiten,91,23,Northeastern Italy,Alto Adige,,Pinot Grigio,Colterenzio
298,US,"With a light, silky mouthfeel and mouthwatering acidity, this Pinot satisfies for its rich array of raspberries, cherries, spices, cola and smoky oak. It defines the Carneros style: tart, a little earthy and ageworthy. Drink now–2019.",Estate Grown,91,38,California,Carneros,Napa-Sonoma,Pinot Noir,Cuvaison
299,US,"De Loach continues to impress with this Lake County vineyard-designate, a well-balanced Zin with plenty of density amid its brick tar and brambly blackberry fruit. With leveled acidity along with plenty of power, it'll both age and be pleasing to drink now, with smoky meats.",Nova Vineyard,91,32,California,Clear Lake,Mendocino/Lake Counties,Zinfandel,De Loach
300,US,"This standout Rocks District wine brings earth shaking aromas of black-olive brine, tapenade, green olive, stargazer lilies, orange peel and crushed gravel. The smoked meat, charcuterie and blue-fruit flavors don't hold back, bringing a lovely sense of texture and detail. It's an intense wine that completely demands your attention.",The Funk Estate,94,60,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,Saviah
301,US,"Entirely estate grown from dry-farmed grapes, this white sparkles with waxy apricot and pear flavors and crisp, underlying mineral stoniness. Dry, with refreshing acidity, it doesn't skimp on mouthfeel, delivering a viscosity that's invitingly complex and lingering.",Estate Bottled,94,30,California,Napa Valley,Napa,Riesling,Smith-Madrone
302,Italy,"This complex and fragrant wine opens with dried violet, black plum and cooking spice aromas. The smooth, well-structured palate doles out blackberry jam, pipe tobacco, ripe black cherry, nutmeg and licorice flavors. Velvety tannins provide elegant support. Drink through 2027.",Vigneto Monte Sant'Urbano,94,85,Veneto,Amarone della Valpolicella Classico,,Red Blend,Speri
303,US,"From a combination of dry-farmed estate fruit and grapes sourced in Carneros, this lovely white is fermented in stainless steel, which coaxes a seamless, light-bodied crispness on the palate. Exotic white peach and briny stone highlight a heady aromatic thread of honeysuckle, ginger and wild vanilla.",White,94,30,California,Napa Valley,Napa,Riesling,Stony Hill
304,US,"Winemaker Bill Brosseau hits a single vineyard home run with this bottling from one of the Central Coast's oldest sites. It shows exotic plum, tangy cranberry, pine needle, juniper and pencil shaving scents on the nose. The palate is steeped in mulberry, marjoram and curry-like Indian spices, proving dynamic and delicious in the most compelling ways.",Sierra Madre Vineyard,94,65,California,Santa Maria Valley,Central Coast,Pinot Noir,Testarossa
305,New Zealand,"Yields were down in 2015, but intensity is up, giving this medium-bodied, silky wine the potential to drink well through at least 2025. Hickory smoke outlines white peach before ending in a long flurry of lime zest.",Maté's Vineyard,94,57,Kumeu,,,Chardonnay,Kumeu River
306,US,"The estate's 13 acres were first planted in 1999. This lovely wine expresses itself with perfectly ripened black-cherry fruit, a dash of cola, and an underpinning of clean earth, complemented with a touch of mineral. The finish is superb.",Bergström Vineyard,94,90,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Bergström
307,US,"Consistently outstanding Pinot Noir producer Black Kite has done it again. This bottling comes together in a seamless symphony of aromas and flavors. Ripe fruit, subtly spicy oak and forest floor notes fill the glass. Its opulent texture unfolds into layers of baking spice, earthiness, and red and black cherry fruit, with a long, complex finish.",Angel Hawk,94,85,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Black Kite
308,US,"Powerful tannin meets subdued fruit in this layered, youthful wine. Concentrated and focused, with rose petal, sage and wild strawberry notes, it holds back teasingly before slowly unraveling to reveal velvety texture and corpulent weight.",King Ridge Vineyard Hirsch Selection,94,70,California,Fort Ross-Seaview,Sonoma,Pinot Noir,Blue Farm
309,US,"There is a darker fruit spectrum evident in the reserve, with notes of coffee, smoke, black fruits, a touch of charred wood all worked through, and without damping the core fruit flavors. Those bright flavors spotlight raspberry, plum and black cherry. A light cola flavor pokes through, with ripe tannins and proportionate acids. The barrel treatment is beautifully applied, adding sweet spice to the finish.",Evenstad Reserve,94,70,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Domaine Serene
310,US,"From the famous site on Westside Road outside of Healdsburg, this bold red shows orange, dark cherry and pungent earth scents, remaining savory at its core. Medium-bodied and balanced with acidity, it takes on a meaty persona seasoned with pepper, clove and black tea.",Bacigalupi Vineyard,94,60,California,Russian River Valley,Sonoma,Pinot Noir,Gary Farrell
311,Italy,"Elegant and savory, this vibrant white offers enticing Spanish broom, yellow stone fruit, wet stone and crushed thyme aromas. The vibrant, ethereal palate carries subtle, tantalizing layers of yellow peach, tangy tangerine, lemon drop and pineapple with lively acidity. A graphite note closes the lingering finish. Too elegant for some palates, it shows impressive balance and depth, despite the cool, wet vintage.",Contrada Salvarenza Vecchie Vigne,94,38,Veneto,Soave Classico,,Garganega,Gini
312,Italy,"Hands down one of Italy's best whites, this boasts alluring white flower and yellow stone fruit scents. The enveloping, delicious palate delivers white peach, mature pear, ginger and lemon drop flavors. Fresh acidity brightens the creamy flavors while a mineral note energizes the finish.",La Froscà,94,29,Veneto,Soave Classico,,Garganega,Gini
313,US,"This impressive 100% varietal wine shows focused red fruit, a tropical edge of coconut and firm, structured tannin. Sage, cedar, tobacco and black pepper notes provide a sultry, savory counterpoint to the fruit, balanced with moderate acidity. Enjoy 2023–2033.",Outer Limits,94,155,California,Napa Valley,Napa,Cabernet Sauvignon,Parallel
314,US,"This gorgeous wine deftly integrates a lively mix of currant, cherry, breakfast tea and dried leaves into a seamless and seductive whole. Produced from vines dating back to the early 1970s, it finishes with a delicious streak of milk chocolate. Drink now through 2030.",Durant Vineyard Bishop Block,94,48,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Patricia Green Cellars
315,US,"From a prime site relatively high in elevation for the appellation, this wine shows beautiful, crisp acidity, as robust layers of mountain raspberry, blackberry and coffee flavor vie for attention. Full bodied and densely structured, it unfurls in wisps of black licorice and clove on the lengthy finish.",Godspeed,94,95,California,Mount Veeder,Napa,Cabernet Sauvignon,Sbragia
316,US,"This pretty, floral wine made entirely from Chardonnay grapes from this site is both creamy and crisp. It offers impressive length, acidity and stoniness, accenting its focused green apple flavor. As it opens, it takes on a richer honey-like tone that adds further complexity and deliciousness.",Tognetti Vineyard Brut,94,80,California,Carneros,Napa-Sonoma,Sparkling Blend,Schramsberg
317,US,"Intensely aromatic, yet big and even chunky in the mouth, this young wine remains compressed and hard-edged. Give it ample aeration, and cranberry, blackberry and black cherry fruits come alive. Dense with fruit and detailed with wet stone minerality, this should be cellared a few years, and consumed from 2020 to 2030.",Ribbon Ridge Estate,94,49,Oregon,Ribbon Ridge,Willamette Valley,Pinot Noir,Trisaetum
318,France,"The wine comes from the grand showpiece estate of Madiran. A blend that is dominated by Tannat produces a wine that is still so young. Bold fruits and firm tannins are right to the fore, along with acidity and a strong mineral texture. It's a powerful and impressive wine that also manages elegance as well. The wine will take several more years to soften. Drink from 2020.",Château Montus,94,35,Southwest France,Madiran,,Tannat-Cabernet,Vignobles Brumont
319,US,"The aromas pop, with notes of orange peel, ember, cured meat, black olive and wet stone, with purple fruit lurking in the background. The palate is surprisingly fruit forward, with plum and savory flavors that coat the palate from end to end. The finish glides for a full 30 seconds.",Old Stones,94,50,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,Waters
320,France,"This is a wine that is beginning to show some fine maturity. There are ripe fruits still very present, but they are matched by the secondary flavors, spice and warm tannins along with the classic herbal character of Mourvèdre. The wine is produced from organically grown grapes, giving purity as well as some serious structure in the background. Drink from 2018.",La Bégude,94,44,Provence,Bandol,,Provence red blend,Domaine de la Bégude
321,Spain,"Spicy yet sweet aromas of sarsaparilla root, saddle leather and earthy berry fruits precede a rich dense palate. This tastes of dark cherry and berry fruit, with an herbal shading adding complexity. Chocolaty oak takes hold on a solid long finish. Drink through 2024.",QP,94,68,Northern Spain,Rioja,,Tempranillo Blend,Bodega Classica
322,France,"This is one of the classics among Provence rosés. Produced from organically grown grapes and coming from an impressive red-wine producing estate east of Aix-en-Provence, the wine is structured and ageworthy with its blend that includes Cabernet Sauvignon. Rich and full of red fruits, the wine should be drunk from late 2017.",,94,20,Provence,Coteaux d'Aix-en-Provence,,Rosé,Château Vignelaure
323,Spain,"Ripe pure black-fruit aromas are touched up by notes of malty chocolate and mocha. This is proportionally big, with cheek-grabbing tannins, but it's not overly hard or unbalanced— just the opposite. Flavors of mocha, coffee, hazelnut and ripe berry fruits finish flush, dense and firm, with toasty notes and powerful but controlled residual tannins. Drink through 2030.",Prestigio Pago de las Solanas,94,,Northern Spain,Ribera del Duero,,Red Blend,Matarromera
324,US,"This single-vineyard estate wine is made by Nils Venge and Tom Rinaldi, who have somehow managed to capture quiet elegance and powerful fruit at the same time. Red-fruit driven, it's round and rich, with moderate tannin and cassis, clove and black pepper highlights.",Pellet Vineyard,94,95,California,Napa Valley,Napa,Cabernet Sauvignon,Pellet Estate
325,France,"This is an impressively rich, still very young wine. Dominated by Bandol's own Mourvèdre grape, it is dense and concentrated. Spice and dark red fruits are shot through with a wonderful herbal character that conjures the southern warmth. The wine is still just setting out and will not be ready to drink before 2019.",La Bégude,94,44,Provence,Bandol,,Provence red blend,Domaine de la Bégude
326,Argentina,"Open-grain oak aromas are out front, followed by sweeter scents of marzipan, prune and chocolate. A full, tannic palate is deep and dense, while toasty blackened flavors of cassis and blackberry finish with notes of mocha, chocolate and pepper. This is a bit rough and tannic, so cellaring will help it calm down. Drink through 2023.",Alta Barrancas Vineyards,94,50,Mendoza Province,Mendoza,,Cabernet Sauvignon,Pascual Toso
327,France,"This is a serious wine with a lighter brighter side. Its wood aging adds spice to the ripe red fruits and brings out the concentration and intensity. It is, in its way, an unexpected side of Provence rosé, emphasizing richness and complexity. But it all comes together: a fine wine that, after a year of aging, is ready to drink.",Garrus,94,100,Provence,Côtes de Provence,,Rosé,Château d'Esclans
328,France,"From old vines in a tree-enclosed vineyard on the third terrace above the River Lot, this wine forms part of a range of wines featuring the soils and terraces of the Cahors vineyard. Named in homage to Marguerite de Massaut, a 16th-century owner of the estate, the wine is aged in new wood that gives it a minty character. That is balanced by the rich black-plum and truffle flavor and the intense acidity. The wine needs to age, so drink from 2021.",Cuvée Marguerite Massaut,94,70,Southwest France,Cahors,,Malbec,Château Lagrézette
329,US,"Polished in every way, this brings an enticing potpourri of almond paste, apple and white pepper. Wild yeast fermentation in oak (30% new) marries complex components in perfect precise balance. As with all the Ponzi 2014 Chardonnays, the acids are bright but not biting, and the wines are built for both near-term enjoyment and medium-term aging.",Aurora Vineyard,94,63,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Ponzi
330,Italy,"Scents of woodland berry, rose petal, grilled herb, anisette and a balsamic note emerge on this firmly structured wine. On the robust palate, white pepper, licorice, sage and a hint of toast weave through the black cherry core. You'll also detect the warmth of alcohol on the close. Drink 2018–2028.",Monvigliero,91,75,Piedmont,Barolo,,Nebbiolo,Fratelli Alessandria
